-157,118
-170,12
-74,139
-144,42
-155,196
122,-88
-187,-143
156,-18
-67,126
44,-102
-13,159
-75,-115
69,-185
75,-43
89,-16
-21,155
-91,7
-7,88
-27,152
-35,54
-197,106
-53,46
-158,194
55,-169
64,-125
-120,117
-185,88
50,-134
-149,88
191,-170
-180,93
124,-165
-83,-194
-176,140
111,-138
50,-84
-154,170
-138,18
-200,157
-40,59
-28,23
-120,147
94,-169
-158,142
-185,38
-16,50
143,-16
-87,128
-110,-154
-75,165
171,-117
-53,152
18,-174
15,-82
179,-94
-24,3
-126,110
-88,54
-41,190
-87,-22
-119,45
-148,74
-117,72
-166,54
-35,24
-93,35
41,-88
-78,78
-149,200
-41,-22
-147,99
19,-69
22,-108
-77,102
-149,78
-190,-89
113,-197
-193,-27
-2,-171
-116,20
-129,77
-132,191
-127,23
-158,-57
-2,119
-135,174
-75,193
40,-163
-59,131
-79,91
-69,69
-30,-83
-68,145
-139,131
65,-6
-33,92
160,-90
-5,-39
-166,169
-176,173
-89,72
-125,34
-71,133
-26,34
-180,-42
-25,92
-141,145
-176,8
-120,122
-40,90
61,-22
-175,139
-168,-58
-189,11
43,-186
-92,149
-33,154
-153,97
-59,126
-41,37
-81,197
-9,145
-128,119
189,-26
-118,193
-78,168
-3,88
57,-155
-23,-78
147,-91
-105,73
-53,61
146,-23
-64,82
113,-56
-144,80
-138,60
-181,81
33,-85
-39,62
-12,57
123,-115
-125,148
78,-161
78,-64
-163,109
-164,98
59,-8
-75,128
121,-188
-22,178
192,-6
-190,-58
-195,124
174,-17
63,-167
-82,1
-35,125
64,-125
-57,87
-27,-24
-148,26
-46,108
-119,161
-116,-24
160,-184
-141,120
11,-178
-125,103
-71,49
-111,8
-71,64
112,-29
-44,107
46,-97
-171,130
-119,152
-50,121
60,-188
-5,45
-156,8
-163,157
97,-192
-113,48
-142,-109
-168,-80
-83,135
-137,37
-36,21
116,-31
-75,-111
-134,149
-49,10
-131,138
177,-6
-13,-118
-27,-137
-152,123
-7,120
-149,188
-64,125
11,-16
-59,101
-21,138
103,-3
-152,190
-99,74
35,-187
200,-175
-125,51
-193,-34
136,-145
-16,116
91,-80
-160,173
24,-17
-84,154
-61,129
35,-78
-21,-121
64,-24
-143,-193
161,-82
-68,104
19,-146
-13,-53
-183,51
128,-16
-59,44
-91,132
-162,61
-179,106
88,-132
-156,-106
79,-152
-76,-71
46,-79
-164,87
-113,91
-26,118
-4,154
-72,-199
-150,121
-55,143
-75,25
133,-63
-151,-28
-48,84
-156,-110
182,-18
-154,176
-41,95
2,-192
-126,183
-30,-11
127,-139
-32,83
-125,97
122,-144
-38,98
-71,142
55,-161
107,-42
-17,-177
-72,120
-191,146
-56,164
112,-108
-10,164
107,-194
75,-175
4,-145
-103,21
8,-9
-39,165
142,-93
-8,75
-62,105
-193,18
-103,125
155,-12
78,-105
141,-106
-137,122
-198,39
-95,70
-197,-189
-90,12
-185,129
-136,168
-176,167
50,-18
165,-123
-87,6
197,-4
-123,107
-108,-107
-71,30
107,-39
-165,108
-45,8
-112,92
-183,67
-68,199
-86,186
-9,-5
105,-42
-114,85
-53,78
-72,79
-43,115
-71,8
-60,192
-49,72
182,-81
-95,31
-143,17
-20,66
-67,37
75,-94
-100,33
-177,39
-124,117
-72,33
-64,62
-110,-53
-45,14
-172,158
-97,147
-33,-32
-35,132
-56,164
164,-109
-121,-88
-135,98
143,-156
-156,47
-182,14
38,-77
-62,67
-12,158
-24,159
-64,82
-172,177
-115,134
-188,69
-155,95
-153,-41
187,-60
-179,-5
164,-199
28,-93
-133,166
85,-90
-90,-86
108,-45
3,-141
90,-61
15,-157
57,-133
-106,171
-129,62
-116,-15
-172,176
-195,24
104,-58
-63,-9
105,-77
-46,151
171,-82
-172,120
-62,84
-51,78
-82,61
-101,43
-188,93
53,-91
19,-186
-175,194
-82,101
36,-170
-191,45
-123,-86
-18,-54
-199,100
-199,141
-14,79
-107,66
-59,122
190,-39
150,-196
-158,-36
36,-7
-33,114
34,-36
-181,-76
-118,165
-43,-119
100,-171
-102,156
-119,142
78,-107
-165,176
-46,36
-124,147
67,-140
-118,19
185,-54
-38,162
65,-164
-22,164
-39,47
-8,32
-171,54
-13,86
-96,155
-14,-103
164,-92
-61,154
96,-36
-44,26
-22,-57
-135,112
-159,47
-162,-52
8,-97
-113,79
-40,83
-65,183
-69,42
-98,69
-82,175
-156,193
-160,174
-15,82
-67,126
-12,57
-149,88
-94,174
192,-10
160,-167
19,-160
-13,139
98,-131
-89,154
-117,43
-102,173
-20,2
-71,44
-40,146
-121,20
-24,182
-51,1
-22,135
-158,116
-23,98
-160,-189
80,-31
-133,-4
-24,50
-143,-147
18,-8
-165,162
-56,9
-152,187
135,-168
-173,80
-24,40
-183,75
-117,157
-26,63
-149,4
-129,-103
-36,16
-62,17
-161,28
-100,92
-56,176
-73,92
-120,102
45,-166
-181,149
-128,98
-29,101
-146,138
-2,28
-102,69
116,-66
59,-166
-173,48
147,-7
65,-20
-46,165
-141,44
-24,143
69,-141
143,-8
175,-27
-172,200
-1,27
-161,191
-184,113
190,-91
-108,200
-77,149
-185,153
39,-52
184,-7
-45,41
-32,50
139,-41
-89,147
-149,161
-58,152
164,-86
-165,157
-29,139
-5,156
20,-182
136,-26
-198,52
-4,120
-134,12
111,-46
-161,89
-132,50
-80,64
-109,185
-102,-76
-51,116
-126,68
-51,142
-166,-127
152,-173
-21,85
-128,130
-79,125
125,-174
35,-54
185,-127
-88,-119
-192,148
-32,168
-187,181
-129,26
-41,198
-115,54
-12,-145
-90,70
189,-36
-108,84
-40,-21
-46,105
-193,155
-1,-151
-87,172
-123,-171
58,-127
200,-144
-76,1
40,-76
-16,63
-128,49
-1,-91
-66,-56
-195,175
-28,66
199,-47
-195,131
-125,133
14,-181
178,-1
-17,120
-86,131
-155,76
-81,112
-160,60
-159,141
-32,68
-92,118
-12,127
-165,143
-66,11
-191,145
158,-148
-127,101
83,-117
-20,-18
-73,150
-115,167
-117,67
173,-87
-193,155
-98,55
-167,148
-95,119
-65,134
67,-82
-151,-133
171,-145
6,-84
-68,137
-20,4
-22,137
-148,41
93,-138
-185,2
-129,121
-140,91
-183,15
-80,14
-67,176
-47,92
-73,129
129,-166
-35,121
147,-54
-123,-73
-21,96
-90,171
-16,88
-171,164
-91,158
181,-9
78,-45
-163,82
-110,88
113,-157
-166,132
-158,67
-193,155
56,-102
-139,99
63,-69
-17,86
-65,43
-156,157
-105,181
182,-165
-37,50
-49,107
5,-97
-5,199
-188,170
78,-176
149,-39
13,-49
150,-66
-192,-28
88,-197
-44,133
-77,-140
-162,83
6,-133
-133,21
-40,97
51,-167
-58,11
-185,24
-124,178
-7,192
102,-77
87,-119
-92,-145
-79,124
122,-15
-113,1
-40,10
-7,146
-22,145
-189,194
-154,9
-67,-1
-191,39
-29,-130
-179,137
47,-78
-86,156
35,-106
37,-198
-153,67
98,-115
93,-24
-178,176
-28,147
16,-91
-9,91
-66,141
-58,92
-161,149
-140,122
27,-186
-54,76
-49,132
-61,86
129,-46
165,-100
-136,81
-169,-128
-54,114
-151,122
-72,-137
-107,141
-163,1
-95,-184
-70,61
106,-61
189,-24
76,-131
-190,157
-159,-98
-75,115
194,-39
-103,161
-138,93
140,-180
-194,-150
133,-108
-192,197
-79,96
-42,56
-164,142
-99,200
-106,184
64,-141
-137,109
-54,11
-117,185
-89,181
101,-33
-124,-7
-95,33
-178,18
3,-194
-188,96
190,-54
-185,196
-64,-183
-82,26
-197,197
-58,-138
170,-5
-101,47
-14,35
-1,10
-8,1
-137,97
-200,100
-80,118
-153,115
137,-94
-66,134
-20,-175
-168,160
-195,168
38,-169
-122,110
-156,52
-7,163
-129,46
-64,190
-14,121
22,-177
-112,49
-34,21
3,-119
171,-74
149,-36
19,-154
-129,-17
-144,15
-55,153
38,-73
-86,-185
-176,-93
-40,-140
-143,50
84,-48
-37,150
-88,3
-153,72
112,-133
118,-106
-96,124
-190,46
-153,104
-151,-69
-18,49
134,-157
-101,19
-156,10
-36,-74
-197,72
23,-78
-43,164
-123,55
-44,73
-188,5
-133,117
-93,184
-68,-85
4,-134
-121,-183
95,-11
-146,58
-118,-44
-189,183
-174,97
-98,154
-4,130
-170,1
194,-182
-59,48
158,-5
-36,191
-133,84
-139,24
66,-75
186,-3
-66,51
-185,12
-79,112
-24,-99
-1,127
-189,137
-11,4
-199,195
-54,198
-53,200
170,-166
29,-37
-18,92
-125,-193
30,-172
-39,-134
90,-197
-3,10
-198,162
24,-162
-44,23
125,-22
-111,-35
92,-15
57,-65
-169,26
-39,96
-86,198
-197,76
96,-169
135,-43
18,-77
-26,132
-183,152
-184,79
-40,18
-83,27
-131,4
-62,15
-70,178
-189,35
-111,-71
-41,113
-193,135
128,-182
-132,-130
-107,134
-128,23
-163,-20
-60,109
67,-32
132,-161
-38,176
-77,195
-95,-15
-16,154
-146,71
150,-73
-143,17
-193,174
11,-167
24,-173
142,-45
98,-129
-135,56
-44,181
-11,-171
-200,188
-31,-9
-83,-133
-93,147
13,-101
-162,10
-47,146
-141,143
-35,127
-66,33
-77,181
118,-31
6,-48
-79,-187
-59,143
-39,121
-110,129
-39,106
-37,131
-176,66
-184,176
72,-141
-16,59
-66,196
57,-200
173,-137
-16,161
-176,20
135,-10
28,-50
107,-190
-180,200
-99,85
-9,-181
-2,104
-76,-107
-6,200
-155,158
120,-29
-83,158
151,-32
-141,25
-82,157
-19,52
151,-124
-40,8
-179,-163
151,-89
138,-101
181,-103
-82,77
-183,15
-42,171
-103,-23
-145,186
172,-14
65,-67
-77,110
179,-16
11,-126
195,-164
125,-87
-74,105
-175,107
-62,8
-60,59
-187,82
-158,189
79,-135
195,-68
-152,123
77,-114
-170,95
-93,66
-122,62
-127,90
-38,-7
76,-36
-152,-135
-152,189
-187,90
-82,133
-7,138
-39,132
41,-169
-99,104
22,-170
-130,26
-86,41
-192,154
109,-127
187,-46
-164,19
-47,107
-43,120
-168,95
196,-58
134,-32
-139,46
-24,172
-11,94
55,-144
-170,49
-96,134
-24,31
-22,72
-70,156
-165,-99
-183,-181
118,-158
-125,181
84,-177
-110,28
-170,111
